dow_et,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
Monday,11.0,8.0,3.0,1.0,3.0,8.0,4.0,7.0,2.0,5.0,2.0,4.0,3.0,43.0,6.0,150.0,210.0,18.0,23.0,12.0,18.0,17.0,14.0,6.0
Tuesday,10.0,20.0,2.0,2.0,4.0,4.0,33.0,2.0,5.0,2.0,7.0,7.0,1.0,27.0,7.0,64.0,181.0,14.0,24.0,15.0,23.0,21.0,11.0,4.0
Wednesday,9.0,12.0,3.0,1.0,1.0,,2.0,2.0,1.0,4.0,2.0,3.0,5.0,52.0,12.0,170.0,217.0,17.0,22.0,15.0,26.0,21.0,8.0,6.0
Thursday,9.0,14.0,1.0,4.0,2.0,2.0,38.0,3.0,4.0,4.0,2.0,7.0,2.0,26.0,5.0,60.0,177.0,12.0,31.0,36.0,45.0,32.0,9.0,9.0
Friday,85.0,126.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,7.0,6.0,2.0,31.0,10.0,188.0,336.0,11.0,7.0,15.0,21.0,9.0,8.0,5.0
Saturday,1.0,9.0,3.0,,1.0,,4.0,3.0,3.0,,1.0,,,21.0,3.0,51.0,117.0,5.0,9.0,6.0,6.0,2.0,7.0,7.0
Sunday,6.0,8.0,2.0,4.0,2.0,5.0,32.0,2.0,4.0,,1.0,1.0,2.0,20.0,8.0,69.0,146.0,7.0,19.0,16.0,15.0,11.0,9.0,5.0
