dow_et,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,12.24009177296624,14.50411141966015,11.550244256938475,,14.456438225855232,14.200639153216922,13.691366455094695,13.717746175891712,12.236711645905876,10.532201457716921,,13.505744625704104,12.694818290803143,12.655921397947147,11.939587039806081,13.582344816064657,13.523485171267824,13.131394722717575,12.343709333217902,13.042593351860846,12.618243820322629,12.123220575678953,12.548756580030467,13.422453336218265
Tuesday,11.834918244242022,12.10780359257495,,,11.839509229137136,14.03585740213629,12.177551501005004,13.667613616024601,10.863585745894117,12.418996149621025,10.862780300954826,14.081985163903717,9.57275879054198,12.51669579753352,11.58151825643584,13.816853906820121,14.083225099524025,12.864254856516247,12.262911286025854,12.184040655129177,12.514684460207658,12.419101212436562,12.164947527324854,12.562871062642525
Wednesday,12.398214348504787,10.025129798518233,11.474241263518866,,14.328657485418942,,12.115770405038802,13.313586860882332,,11.220912018395122,10.031704850336881,13.489435071311146,,12.698760774896407,12.653656532556132,13.34656221891591,13.4917358495638,12.318716168314157,13.487718687975011,12.212069306471406,13.05458250064472,14.467627011016738,12.705443034124627,12.145715500207206
Thursday,12.706713718099813,12.964131715017261,,,11.836797219329968,13.183541257909653,10.521129631565318,12.20464700175032,12.045052592156134,,10.774838816946847,12.959345969285335,12.183784823590155,13.144310761887153,,14.78304900318718,13.908507154406484,12.442022109436882,12.794092033132175,12.741016153037585,12.785485458505187,13.381003793871386,12.033319168322858,12.147749790972464
Friday,13.08425895641478,12.903103499318991,,,14.030921086380143,11.744552925932748,,12.29352475871467,,,12.81903860216509,13.211807423282762,,13.466715911333331,12.545421760005945,14.082305150577538,14.385692497087634,12.525890247599031,12.93305156768681,12.983760894488071,12.97118107627708,12.893684523285387,12.653405601063733,
Saturday,,14.237757395177628,9.27199975236291,,13.62683389551463,,13.835835966900154,12.265147832297734,,,,13.352716025649958,,13.21141488890981,10.666370661780968,14.221579693189383,14.040523038855357,12.870579603774438,14.0740376173169,13.468986773367613,12.299975195501364,,12.971399007784875,13.866277845672997
Sunday,11.130872142961655,14.468748966640408,11.739090588076849,10.927573832967658,13.668557197279002,12.986734567438024,11.304448826699415,11.94320397396371,13.096020761431094,,,13.61999571271816,9.862717639992917,12.961088379784746,11.956430353168956,14.374127323375896,13.83443268527424,12.07762229369524,12.553195109462592,12.816748469159755,11.116471763648175,12.900266108895796,12.30018210475798,11.797871426607678
