dow_et,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,7.0,5.0,2.0,,1.0,2.0,3.0,3.0,2.0,2.0,,4.0,1.0,29.0,2.0,116.0,204.0,10.0,12.0,8.0,11.0,8.0,4.0,4.0
Tuesday,7.0,5.0,,,2.0,1.0,11.0,1.0,2.0,1.0,5.0,12.0,1.0,17.0,1.0,94.0,229.0,7.0,9.0,7.0,7.0,5.0,3.0,3.0
Wednesday,3.0,1.0,2.0,,1.0,,1.0,1.0,,3.0,1.0,8.0,,37.0,3.0,128.0,238.0,12.0,10.0,8.0,11.0,11.0,6.0,3.0
Thursday,2.0,13.0,,,1.0,1.0,13.0,3.0,1.0,,2.0,11.0,2.0,29.0,,81.0,213.0,3.0,14.0,11.0,9.0,13.0,1.0,2.0
Friday,22.0,42.0,,,1.0,1.0,,1.0,,,2.0,10.0,,21.0,4.0,220.0,436.0,3.0,2.0,4.0,2.0,2.0,5.0,
Saturday,,1.0,1.0,,2.0,,2.0,1.0,,,,7.0,,16.0,1.0,67.0,160.0,2.0,4.0,5.0,4.0,,3.0,7.0
Sunday,2.0,4.0,2.0,1.0,4.0,2.0,13.0,2.0,3.0,,,4.0,1.0,13.0,4.0,72.0,150.0,4.0,9.0,8.0,2.0,4.0,5.0,2.0
