day,hour,n,median_logv,approx_median_views
Sunday,6.0,20.0,11.136241097160879,68612
Thursday,6.0,23.0,10.14419593502981,25442
Tuesday,6.0,21.0,9.757478638400492,17282
Monday,15.0,63.0,0.0,0
Monday,16.0,52.0,0.0,0
Wednesday,15.0,71.0,0.0,0
Wednesday,16.0,51.0,0.0,0
Friday,15.0,61.0,0.0,0
Friday,16.0,88.0,0.0,0
Sunday,16.0,26.0,0.0,0
