dow_et,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,11.386568276093707,13.015993463586657,11.203818806738644,,14.456438225855232,13.520086448143388,13.211644509882314,13.272905267662257,11.833654477832589,10.17373755467591,,13.368296572037027,12.694818290803143,11.753846064067119,11.690746191255458,0.0,11.740201551450294,11.869909685436266,11.782977810306058,12.30048130127961,12.378823549384178,12.046279542829904,12.170318461489568,12.633429819662297
Tuesday,11.460673816771486,11.607207844041017,,,11.539090957143252,14.03585740213629,9.825634663978878,13.667613616024601,10.318928048325846,12.418996149621025,10.445579258176117,12.598209323427005,9.57275879054198,12.003468141990258,11.58151825643584,12.7997916790854,12.9594597829947,12.226326151557418,11.71250556595035,11.972468320609057,12.103580235145634,12.337254404927242,11.334635769289644,11.93626978316563
Wednesday,12.222703581660719,10.025129798518233,11.359096145973059,,14.328657485418942,,12.115770405038802,13.313586860882332,,10.915597425580886,10.031704850336881,12.831087891498385,,12.212178963961934,12.606907048453644,0.0,12.35156595826625,11.801352866677055,12.112130601160741,11.78305140973805,12.10342511306979,13.352190146186018,12.037795834083681,11.949805257283137
Thursday,12.495893835702985,12.835512959032405,,,11.836797219329968,13.183541257909653,9.236692348196911,11.582311592455236,9.60139403820302,,10.667018451444209,12.076695354496675,11.859327875150917,12.478638208978822,,13.333948119468833,12.75038043304102,11.688448967263184,12.496742871742342,12.403845054104487,12.554501685255055,13.285337303375508,12.033319168322858,11.999778206965214
Friday,12.450015613435859,12.214839139837064,,,14.030921086380143,11.744552925932748,,12.29352475871467,,,12.787735171248787,12.551957296515717,,12.870110222943554,12.197774528515868,12.818967960248937,12.982686920135261,11.806176999136879,12.707627717890931,12.737391505215285,12.097581642626341,12.764474684953106,12.17787376817147,
Saturday,,14.237757395177628,9.27199975236291,,13.521647543564011,,13.215361202518828,12.265147832297734,,,,12.950689729881312,,12.469036730069632,10.666370661780968,13.279903188535876,12.984204149995117,12.663481529167289,13.058817109567427,13.32791957389341,11.97260296110482,,11.914937952972554,13.265892129479129
Sunday,10.933715691021415,13.143191478773991,11.640631962919935,10.927573832967658,13.15127127887818,12.886672833294078,10.099547635440596,11.935995588826291,11.263848531629515,,,13.538329516059651,9.862717639992917,12.77376511038405,11.534187594992147,13.21852803892132,12.638123524378033,11.635347158170461,12.231165178141872,12.368553656552582,10.871343025025443,12.11327421832518,12.225679175169091,11.760386123466528
